0 0 0 0 
0.1 8.32086e-05 8.32086e-05 0.000166635 
0.2 0.000249626 0.000249626 0.000499908 
0.3 0.000499251 0.000499251 0.000999821 
0.4 0.000832086 0.000832086 0.00166638 
0.5 0.00124813 0.00124813 0.00249957 
0.6 0.00174738 0.00174738 0.00349942 
0.7 0.00232984 0.00232984 0.00466591 
0.8 0.00299551 0.00299551 0.00599905 
0.9 0.00374438 0.00374438 0.00749884 
1 0.00457647 0.00457647 0.00916529 
1.1 0.00549176 0.00549176 0.0109984 
1.2 0.00649027 0.00649027 0.0129982 
1.3 0.00757198 0.00757198 0.0151646 
1.4 0.0087369 0.0087369 0.0174977 
1.5 0.00998503 0.00998503 0.0199974 
1.6 0.0113164 0.0113164 0.0226638 
1.7 0.0127309 0.0127309 0.0254969 
1.8 0.0142287 0.0142287 0.0284967 
1.9 0.0158096 0.0158096 0.0316631 
2 0.0174738 0.0174738 0.0349962 
2.1 0.0192212 0.0192212 0.038496 
2.2 0.0210518 0.0210518 0.0421624 
2.3 0.0229656 0.0229656 0.0459956 
2.4 0.0249626 0.0249626 0.0499954 
2.5 0.0270428 0.0270428 0.0541619 
2.6 0.0292062 0.0292062 0.0584951 
2.7 0.0314528 0.0314528 0.062995 
2.8 0.0337827 0.0337827 0.0676616 
2.9 0.0361957 0.0361957 0.0724948 
3 0.038692 0.038692 0.0774948 
3.1 0.0412714 0.0412714 0.0826615 
3.2 0.0438853 0.0441071 0.0879683 
3.3 0.0464991 0.0470346 0.0932475 
3.4 0.0491128 0.0500542 0.0984991 
3.5 0.0517266 0.0531663 0.103723 
3.6 0.0543402 0.0563712 0.108919 
3.7 0.0569538 0.0596691 0.114088 
3.8 0.0595674 0.0630603 0.119229 
3.9 0.0621809 0.066545 0.124343 
4 0.0647944 0.0701235 0.129429 
4.1 0.0674078 0.073796 0.134487 
4.2 0.0700212 0.0775626 0.139518 
4.3 0.0726345 0.0814234 0.144521 
4.4 0.0752478 0.0853787 0.149496 
4.5 0.077861 0.0894287 0.154444 
4.6 0.0804742 0.0935733 0.159364 
4.7 0.0830873 0.0978129 0.164256 
4.8 0.0857004 0.102147 0.169121 
4.9 0.0883134 0.106577 0.173959 
5 0.0909264 0.111102 0.178768 
5.1 0.0935394 0.115722 0.183551 
5.2 0.0962011 0.120334 0.188331 
5.3 0.0989461 0.12503 0.193279 
5.4 0.101774 0.129809 0.198393 
5.5 0.104686 0.134671 0.203674 
5.6 0.10768 0.139616 0.209122 
5.7 0.110758 0.144645 0.214737 
5.8 0.113919 0.149757 0.220518 
5.9 0.117163 0.154951 0.226465 
6 0.12049 0.16023 0.23258 
6.1 0.123901 0.165591 0.238861 
6.2 0.127395 0.171035 0.245309 
6.3 0.130972 0.176563 0.251924 
6.4 0.134632 0.182174 0.258705 
6.5 0.138376 0.187868 0.265653 
6.6 0.142202 0.193645 0.272768 
6.7 0.146112 0.199506 0.28005 
6.8 0.150105 0.205449 0.287498 
6.9 0.154181 0.211476 0.295113 
7 0.158341 0.217586 0.302895 
7.1 0.162584 0.22378 0.310843 
7.2 0.16691 0.230056 0.318958 
7.3 0.171319 0.236416 0.32724 
7.4 0.175811 0.242859 0.335689 
7.5 0.180386 0.249385 0.344305 
7.6 0.185045 0.255994 0.353087 
7.7 0.189787 0.262687 0.362036 
7.8 0.194612 0.269463 0.371151 
7.9 0.199521 0.276322 0.380434 
8 0.204512 0.283264 0.389883 
8.1 0.209587 0.290289 0.399499 
8.2 0.214745 0.297398 0.409281 
8.3 0.219983 0.304588 0.419223 
8.4 0.225221 0.311774 0.429208 
8.5 0.23046 0.318956 0.439235 
8.6 0.235698 0.326134 0.449306 
8.7 0.240937 0.333308 0.459421 
8.8 0.246175 0.340477 0.469578 
8.9 0.251414 0.347642 0.479779 
9 0.256653 0.354804 0.490023 
9.1 0.261892 0.361961 0.500309 
9.2 0.267131 0.369113 0.51064 
9.3 0.27237 0.376262 0.521013 
9.4 0.277609 0.383406 0.53143 
9.5 0.282848 0.390547 0.541889 
9.6 0.288088 0.397683 0.552392 
9.7 0.293327 0.404815 0.562938 
9.8 0.298567 0.411942 0.573528 
9.9 0.303806 0.419066 0.58416 

