#64 0.001533 0.00143967 6.54621e+23
#128 0.000416281 0.000132671 2.26783e+24
#256 8.34473e-05 0.000125009 6.2446e+18
#512 1.05642e-05 1.23981e-05 1.96599e+08
1024 2.25946e-06 3.54838e-06 9.44074e-06
2048 6.24431e-07 7.55891e-07 1.57684e-06
4096 1.52739e-07 2.24403e-07 2.97038e-07
8192 3.92183e-08 5.04643e-08 7.54807e-08
16384 9.75067e-09 1.4908e-08 1.91038e-08
32768 2.47926e-09 3.23337e-09 4.88418e-09
65536 6.60816e-10 7.53945e-10 1.29799e-09
131072 3.2325e-10 3.30803e-10 4.88044e-10
262144 3.13863e-10 3.09077e-10 3.42856e-10
524288 1.91736e-10 2.05923e-10 3.04124e-10


