128 1.79833e-07 3.24297e-07 2.39563e-06 1.79833e-07 3.24297e-07 
256 4.58489e-09 2.76659e-08 6.372e-07 6.60561e-08 7.12141e-08 
512 1.33557e-08 3.43906e-08 2.8591e-07 1.62797e-08 5.50716e-08 
1024 7.56074e-09 2.07153e-08 6.49323e-08 5.62911e-09 1.61673e-08 
2048 1.73057e-10 1.11852e-08 4.47581e-09 2.29111e-09 2.18181e-08 
4096 2.80215e-10 7.31367e-09 3.69665e-09 3.16173e-10 6.02331e-09 
8192 6.63051e-11 9.04341e-10 1.83724e-09 6.003e-12 3.64363e-09 
16384 4.36628e-11 1.81843e-09 2.03912e-09 3.61208e-11 2.12315e-09 
32768 1.45158e-11 1.25984e-09 1.2224e-09 4.81406e-12 2.28592e-09 
65536 5.11979e-12 4.74717e-10 4.69996e-10 1.98945e-12 1.05282e-09 

