132 3.24332 2.37631 1.21807 2.15659 3.24332 -0.481754 1.21807 -0.754251 
134 3.3158 2.36074 1.15678 2.05165 3.3158 -0.509041 1.15678 -0.834078 
136 3.38325 2.34433 1.11048 1.93712 3.38325 -0.535827 1.11048 -0.899405 
138 3.44451 2.32708 1.07631 1.81499 3.44451 -0.562083 1.07631 -0.949096 
140 3.49846 2.30902 1.05167 1.68738 3.49846 -0.587785 1.05167 -0.982287 
142 3.54409 2.29016 1.03429 1.55652 3.54409 -0.612907 1.03429 -0.998402 
144 3.58054 2.27051 1.02231 1.42467 3.58054 -0.637424 1.02231 -0.997159 
146 3.6071 2.25011 1.01422 1.29414 3.6071 -0.661312 1.01422 -0.978581 
148 3.62326 2.22897 1.00889 1.16718 3.62326 -0.684547 1.00889 -0.942991 
150 3.62868 2.20711 1.00545 1.04601 3.62868 -0.707107 1.00545 -0.891007 
152 3.62326 2.18455 1.00327 0.932731 3.62326 -0.728969 1.00327 -0.823533 
154 3.6071 2.16131 1.00192 0.829314 3.6071 -0.750111 1.00192 -0.741742 
156 3.58054 2.13742 1.00111 0.737557 3.58054 -0.770513 1.00111 -0.647056 
158 3.54409 2.11291 1.00063 0.659055 3.54409 -0.790155 1.00063 -0.541121 
160 3.49845 2.08779 1.00035 0.595173 3.49845 -0.809017 1.00035 -0.425779 
162 3.44451 2.06208 1.00019 0.547021 3.44451 -0.827081 1.00019 -0.303035 
164 3.38325 2.03583 1.0001 0.515436 3.38325 -0.844328 1.0001 -0.175023 
166 3.31579 2.00904 1.00005 0.500967 3.31579 -0.860742 1.00005 -0.0439681 
168 3.2433 1.98175 1.00003 0.503866 3.2433 -0.876307 1.00003 0.0878512 
170 3.167 1.95399 1.00001 0.524083 3.167 -0.891007 1.00001 0.218143 
172 3.0881 1.92578 1.00001 0.561266 3.0881 -0.904827 1.00001 0.344643 
174 3.0078 1.89715 1 0.614769 3.0078 -0.917755 1 0.465151 
176 2.92722 1.86812 1 0.683661 2.92722 -0.929776 1 0.577573 
178 2.84741 1.83874 1 0.766745 2.84741 -0.940881 1 0.679953 
180 2.76933 1.80902 1 0.862576 2.76933 -0.951057 1 0.770513 
182 2.6938 1.77899 1 0.969489 2.6938 -0.960294 1 0.847678 
184 2.62153 1.74869 1 1.08562 2.62153 -0.968583 1 0.910106 
186 2.55309 1.71814 1 1.20896 2.55309 -0.975917 1 0.956712 
188 2.48892 1.68738 1 1.33736 2.48892 -0.982287 1 0.986686 
190 2.42931 1.65643 1 1.46859 2.42931 -0.987688 1 0.999507 
192 2.37447 1.62533 1 1.60036 2.37447 -0.992115 1 0.994951 
194 2.32447 1.59411 1 1.73039 2.32447 -0.995562 1 0.973099 
196 2.27927 1.56279 1 1.85641 2.27927 -0.998027 1 0.934329 
198 2.13123 1.53141 1 1.63156 2.13123 0.999507 1 0.991308 
200 2.10798 1.5 1 1.5 2.10798 1 1 1 
