    1.5000    1.5000   22.7007
    0.8269    0.3915   19.9464
    1.5598   -0.4341    4.7969
    1.5236   -0.4025    4.5574
    1.6908   -0.2674    3.9994
    1.7176    0.7205    3.3018
    1.5559    0.6102    1.0315
    1.5142    0.7465    0.5629
    1.4146    0.8658    0.4550
    1.2761    0.8728    0.2437
    1.1174    1.0000    0.0692
    1.1696    0.9510    0.0522
    1.0489    1.0183    0.0461
    1.0990    0.9834    0.0157
    0.9764    1.0214    0.0111
    1.0610    0.9852    0.0090
    1.0021    1.0088    0.0010
    1.0147    1.0029    0.0002
    1.0059    1.0052    0.0002
    1.0088    1.0042    0.0002
    1.0082    1.0044    0.0002
    1.0083    1.0044    0.0002
    1.0083    1.0044    0.0002
    1.0083    1.0044    0.0002
