0 3.79599 3.79616 
1 0.696836 0.683924 
2 0.566892 0.560546 
3 0.512535 0.359914 
4 0.393034 0.302032 
5 0.228303 0.182375 
6 0.110105 0.145621 
7 0.048101 0.0995787 
8 0.0383706 0.0799806 
9 0.0332181 0.0467889 
10 0.0219494 0.0402775 
11 0.00665554 0.0172516 
12 0.00507909 0.00294441 
13 0.0024995 0.001456 
14 0.00161441 0.000852863 
15 0.000846516 0.000668675 
16 0.0005468 0.00017386 
17 0.00019008 0.000167723 
18 3.27911e-05 0.000139227 
19 8.68072e-06 7.83067e-05 
20 1.31913e-06 1.01023e-05 
21 1.30681e-06 5.08506e-06 
22 4.52438e-07 1.44243e-06 
23 2.61033e-07 8.38248e-07 
#24 2.60979e-07 2.47543e-07 
#25 2.6011e-07 8.97576e-08 
#26 2.58805e-07 4.87628e-08 
#27 2.58392e-07 3.74069e-08 
#28 2.58471e-07 3.63602e-08 
#29 2.6e-07 3.55652e-08 
#30 2.59899e-07 3.41302e-08 
#31 1.62809e-07 3.41301e-08 
#32 1.57555e-07 -8.63674e-26 
#33 1.57439e-07 -8.63674e-26 
#34 1.58557e-07 -8.63674e-26 
24 2.60979e-07 2.47543e-07 
25 2.6011e-07 8.97576e-08 
26 0 4.87628e-08 
27 0 3.74069e-08 
28 0 3.63602e-08 
29 0 3.55652e-08 
30 0 3.41302e-08 
31 0 3.41301e-08 
32 0 0 
