128 1.42786e-06 1.57232e-06 1.1476e-06 1.42786e-06 1.57232e-06 
256 2.95769e-07 3.22386e-07 3.49527e-07 8.15985e-08 9.42587e-08 
512 6.43273e-08 3.96708e-08 2.15605e-07 1.28224e-08 5.45896e-08 
1024 1.20674e-08 3.58599e-09 4.83972e-08 5.35482e-09 1.80004e-08 
2048 5.06489e-09 1.72165e-08 1.29085e-09 2.73074e-09 2.41465e-08 
4096 1.16004e-09 9.29612e-09 5.60885e-09 1.45096e-10 6.65643e-09 
8192 3.59197e-10 5.76809e-10 1.52415e-09 9.27073e-11 3.86712e-09 
16384 9.40416e-11 1.79891e-09 2.02329e-09 8.18893e-12 2.2063e-09 
32768 3.3995e-11 1.39871e-09 1.3606e-09 1.40275e-11 2.46456e-09 
65536 1.22444e-11 4.89288e-10 4.84379e-10 5.00763e-12 1.11858e-09 

