0 1.36385 1.572 
10 1.86833 1.92879 
20 2.37726 2.49576 
30 2.41197 2.46276 
40 2.17013 1.77952 
50 1.80902 1.57711 
60 1.71667 1.49663 
70 1.39446 1.45796 
80 1.44011 1.35881 
90 1.18944 1.83 
100 1.26487 1.42811 
