#Plot of the error of the calculated jacobian dJ (expl midpoint,impl midpoint,gen midpoint)
t a b c d
32 0.155854 0.40001 0.140593 0.155854
64 0.107046 0.213399 0.136827 0.107046
128 0.0457979 0.0998973 0.0462712 0.0457979
256 0.0143423 0.0554919 0.0261213 0.0143423
512 0.00391733 0.0266413 0.0159583 0.00391733
1024 0.00251658 0.0135576 0.00704692 0.00251658
