#Plot of the error of the calculated jacobian dJ (expl midpoint,impl midpoint,gen midpoint)
t a b c d
32 0.149589 0.481864 0.500327 0.149589
64 0.168889 0.324901 0.33037 0.168889
128 0.0423276 0.214782 0.112778 0.0423276
256 0.0226862 0.101461 0.0553459 0.0226862
512 0.0109353 0.0489149 0.0520593 0.0109353
1024 0.00909975 0.0425932 0.0163603 0.00909975
