#Plot of the error of the calculated jacobian dJ (expl midpoint,impl midpoint,gen midpoint)
t a b c d
32 0.969966 2.38131 1.07401 0.969966
64 0.48933 1.2842 0.347731 0.48933
128 0.453487 0.455463 0.281224 0.453487
256 0.0896515 0.258592 0.137934 0.0896515
512 0.0544918 0.115005 0.0351235 0.0544918
1024 0.0168874 0.0608937 0.0293617 0.0168874
